pkd_section;pkd_2025;pkd_name;year;revenue;net_profit;investments;firms;profitable_firms;profit_margin;profitable_share;bank_debt;total_liab;leverage_bank_to_rev;leverage_tot_to_rev;invest_intensity;cagr_revenue;cagr_net_profit;cagr_investments;cagr_firms;profit_margin_std_3y;size_index;growth_index;profit_index;risk_index;outlook_index;current_index;future_index;main_index;class
46;46;HANDEL HURTOWY, Z WYŁĄCZENIEM HANDLU POJAZDAMI SAMOCHODOWYMI;2005;1016035.14;23081.309999999998;14528.93;21447.0;18059.0;0.022717039097683175;0.8420291882314542;42338.76;219009.01;0.04167056663020533;0.21555259397819648;0.014299633376853482;;;;;;100.0;;82.28617442170159;64.17905682287508;0.6062912869726765;59.82526065228792;19.496233561651593;43.693649816033385;Stabilne, ale bez dynamiki
47;47;HANDEL DETALICZNY, Z WYŁĄCZENIEM HANDLU DETALICZNEGO POJAZDAMI SAMOCHODOWYMI;2005;375122.41;5837.08;11291.9;15713.0;11679.0;0.015560467315189194;0.7432699039012283;13495.970000000001;81640.56;0.03597750931489271;0.21763711744121073;0.030101907268083504;;;;;;55.09227305739921;;76.07703875359363;64.29098998637959;1.2762931480075745;49.32501129579212;19.797814255116904;37.51413247952203;Gwiazdy wzrostu
10;10;PRODUKCJA ARTYKUŁÓW SPOŻYWCZYCH;2005;294745.8;8533.8;13886.02;7430.0;5888.0;0.02895308431875874;0.7924629878869448;31602.56;77907.77;0.10721971271515998;0.26432190043081194;0.047111850279121875;;;;;;31.826474968791395;;80.29197794518076;62.111154389481555;1.9974990676074253;45.07163579689794;19.432345943887437;34.815919855693735;Stabilne, ale bez dynamiki
21;21;PRODUKCJA PODSTAWOWYCH SUBSTANCJI FARMACEUTYCZNYCH ORAZ LEKÓW I POZOSTAŁYCH WYROBÓW FARMACEUTYCZNYCH;2005;18308.8;1936.49;933.23;190.0;174.0;0.10576826444114307;0.9157894736842105;894.7;3677.5;0.04886721139561304;0.20085969588394653;0.0509716638993271;;;;;;1.3439448540429226;;95.79573875932763;64.16665886495844;2.1611516106898847;43.46772132012802;20.114458303763485;34.12641611358221;Gwiazdy wzrostu
25;25;PRODUKCJA METALOWYCH WYROBÓW GOTOWYCH, Z WYŁĄCZENIEM MASZYN I URZĄDZEŃ;2005;93754.61;5963.25;4519.14;5279.0;4279.0;0.06360487233641098;0.8105701837469218;6485.1;28063.300000000003;0.0691709986314273;0.2993271477530545;0.048201789757325;;;;;;16.9208309741568;;85.23697741382972;62.633617363733975;2.0437114977828563;43.48349575740898;19.607569808233336;33.93312537773872;Gwiazdy wzrostu
43;43;ROBOTY BUDOWLANE SPECJALISTYCZNE;2005;42964.79;2022.6;1278.1399999999999;3765.0;3226.0;0.04707575668355413;0.8568393094289508;1768.8000000000002;12558.93;0.041168594097632044;0.2923074917857157;0.029748545262295006;;;;;;10.891787220778413;;85.87594384569542;63.36911421328503;1.261310924365146;42.658077669565046;19.515258633731566;33.400950055231654;Stabilne, ale bez dynamiki
05;05;WYDOBYWANIE WĘGLA KAMIENNEGO I WĘGLA BRUNATNEGO (LIGNITU);2005;45137.74;2806.04;4656.36;48.0;42.0;0.062166160733789506;0.875;484.76;15461.28;0.010739571808424614;0.3425355367814162;0.10315890870920874;;;;;;2.333172409043324;;88.59043152651432;63.54890931990114;4.373842732586574;41.67891515940759;20.81420988900497;33.333033051246545;Gwiazdy wzrostu
19;19;WYTWARZANIE I PRZETWARZANIE KOKSU I PRODUKTÓW RAFINACJI ROPY NAFTOWEJ;2005;117169.03;7530.44;3510.5;92.0;74.0;0.06426988428597556;0.8043478260869565;4325.280000000001;16564.3;0.0369148741779291;0.14137097490693573;0.02996098883809143;;;;;;5.980475207049173;;84.97317911885798;65.08543248140259;1.2703183363444754;41.965019565545106;20.033757078958566;33.19251457091049;Gwiazdy wzrostu
22;22;PRODUKCJA WYROBÓW Z GUMY I TWORZYW SZTUCZNYCH;2005;92158.63;4608.45;8127.900000000001;3525.0;2886.0;0.05000562616870498;0.8187234042553192;9857.73;30810.609999999997;0.1069648062259606;0.33432148459672195;0.08819467042858602;;;;;;12.753141370072548;;84.12942261115069;61.36771165738508;3.7393728097135646;41.993297424017705;19.906062621100947;33.158403502851;Gwiazdy wzrostu
73;73;REKLAMA, BADANIE RYNKU I OPINII PUBLICZNEJ;2005;43728.34;2443.04;951.16;783.0;650.0;0.055868574018588406;0.8301404853128991;1991.89;8055.69;0.04555146616587779;0.18422126245816786;0.02175156889102125;;;;;;3.9773409389997134;;85.4221744967677;64.4229894994958;0.922246490456105;41.47790866184061;19.695795446031184;32.76506337551684;Gwiazdy wzrostu
45;46;"HANDEL HURTOWY I DETALICZNY POJAZDAMI SAMOCHODOWYMI; NAPRAWA POJAZDÓW SAMOCHODOWYCH";2005;142394.4;2094.81;2867.98;4044.0;3146.0;0.014711322917193372;0.777942631058358;10678.68;34034.11;0.07499367952672296;0.23901298084756142;0.020141101054535853;;;;;;16.435248077345207;;77.87313838977396;63.14206587798807;0.8539641372321874;41.69795397630895;19.284205418289293;32.73245455310109;Stabilne, ale bez dynamiki
63;63;DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFORMACJI;2005;3132.62;384.02000000000004;136.55;228.0;163.0;0.12258748268222767;0.7149122807017544;52.93;861.4200000000001;0.016896399818682125;0.2749838793086937;0.04358971084906564;;;;;;0.6857019113686722;;86.74864990669366;64.12696665337714;1.8481635992308305;41.062392854960294;19.977355435705473;32.62837788725837;Gwiazdy wzrostu
